"Unnamed Column","Nombre de la Entidad","Categoría","Estado","Observaciones","Fecha de corte","Responsable"
"3","ASOCIACION DE PESCADORES ARTESANALES DEL MUNICIPIO DE RICAURTE - ASOPESCAR_","ASOCIACION","ACTIVA","La asociación tiene como finalidad el desarrollo del bienestar social para sus afiliados contribuyendo asi al mejoramiento de la calidad de vida de los pescadores artesanales, por medio del desarrollo de programas, proyectos, estrategias y toda actividad de indole social y economica que promueva un desarrollo integral y sustentable.  Incentivar y fortalecer la capacidad organizativa y empresarial de los pescadores. Disminuir la intermediacion en la comercializacion de los productos.","2025 Apr 21 12:00:00 AM","Secretaria de Ambiente, Agricultura y Desarrollo Rural"
"4","ASOCIACION DE PESCADORES DEL MUNICIPIO DE RICAURTE CUNDINAMARCA - ASOPEZ_","ASOCIACION","ACTIVA","La asociación tiene como objeto principal el desarrollo de proyectos productivos encaminados a fortalecer la pesca artesanal, pesca deportiva, pesca turistica, acompañado de turismo gastronómico y saberes culturales de los pescadores del ric Magdalena y gestionar recursos para impulsar las actividades relacionadas con el turismo en el rio magdalens","2025 Apr 21 12:00:00 AM","Secretaria de Ambiente, Agricultura y Desarrollo Rural"
"5","ASOCIACION MUNICIPAL DE USUARIOS CAMPESINOS DE RICAURTE DEPARTAMENTO DE CUNDINAMARCA - A.N.U.C","ASOCIACION","ACTIVA","La Asociación Municipal de Usuarios Campesinos de Ricaurte persigue organizar, agremiar, capacitar, y representar a los campesinos del municipio y actuar como su interlocutor válido, como órgano asesor y consultor ante el gobierno y la sociedad para gestionar, defender y reivindicar sus derechos económicos, politicos, sociales y culturales asegurando el total respeto y cumplimiento de las garantias que le otorgan la Constitución y la Ley","2025 Apr 21 12:00:00 AM","Secretaria de Ambiente, Agricultura y Desarrollo Rural"
"6","Asociacion de Usuarios Campesinos del Municipio de Ricaurte Cundinamarca  ´´ANUC´´","ASOCIACION","ACTIVA","La Asociación Municipal de Usuarios Campesinos, ANUC Ricaurte, es una Asociación campesina, mixta, de tipo social gremial, de primer grado, de derecho privado, sin ánimo de lucro, con carácter de confederación a través de la cual se agremian los campesinos del Municipio y se confederan las diferentes formas organizativas cuando así lo soliciten.","2025 Apr 23 12:00:00 AM","Secretaria de Gobierno y Participacion Comunitaria"
"7","Consejo Comunitario Afrocolombiano San Francisco de Ricaurte Cundinamarca ´´ COCOMASARI´´","ASOCIACION","ACTIVA","Tiene el proposito de proyectos productivos (trabajo de la tierra), seguridad alimentaria para todas las familias que hacen parte de este consejo y vivienda Digna.","2025 Apr 23 12:00:00 AM","Secretaria de Gobierno y Participacion Comunitaria"
"8","ASOCIACION DE USUARIOS DEL SERVICIO AGUA DE CALLEJON","ASOCIACION","ACTIVA","ASOCIACION DEDICADA AL SUMINISTRO DE POTABILIZACION DE AGUAS SUBTERRANEAS  Y DISTRUBUCION DE USO AGRICOLA","2024 May 03 12:00:00 AM","DIRECCION DE SERVICIOS PUBLICOS"
"9","ASOCIACION DE ACUEDUCTO VEREDA CASABLANCA","ASOCIACION","ACTIVA","ASOCIACION DEDICADA AL SUMINISTRO DE POTABILIZACION DE AGUAS SUBTERRANEAS  Y DISTRUBUCION DE USO AGRICOLA","2024 Aug 04 12:00:00 AM","DIRECCION DE SERVICIOS PUBLICOS"
"10","Junta de Accion Comunal La Virgina","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"11","Junta de Accion Comunal La Tetilla","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"12","Junta de Accion Comunal Pesebre","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"13","Junta de Accion Comunal Cumaca","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"14","Junta de Accion Comunal El Portal","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"15","Junta de Accion Comunal Zona Urbana","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"16","Junta de Accion Comunal Villa Diana Carolina","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"17","Junta de Accion Comunal San Martin y el Paso","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"18","Junta de Accion Comunal La Carrera","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"19","Junta de Accion Comunal Limoncitos","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"20","Junta de Accion Comunal Las Varas","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"21","Junta de Accion Comunal Llano del pozo","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"22","Junta de Accion Comunal San Francisco","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"23","Junta de Accion Comunal Isla Baja","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"24","Junta de Accion Comunal Isla Alta","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"25","Junta de Accion Comunal Manuel Norte","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"26","Junta de Accion Comunal Casablanca","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"27","Junta de Accion Comunal Manuel Sur","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"28","Junta de Accion Comunal Callejon","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 28 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
"29","Asojuntas-Municipio Ricaurte","ASOCIACION","ACTIVA","promover el desarrollo integral y sostenible a través de la participación ciudadana.","2025 Apr 29 12:00:00 AM","Asociacion de Junta (ASOJUNTAS)"
