"ORGANIZACION","RAZON SOCIAL","NIT","FEC-MATRICULA","DIR-COMERCIAL","MUN-COMERCIAL","TEL-COM-1","EMAIL-COMERCIAL","CIIU-1","TAM-EMPRESA","PERSONAL","ACTIVO-TOTAL","NOM-REP-LEGAL"
"16","HISTORY TRAVELERS S.A.S BIC","9,007,437,523","20,140,522","CL 9 NRO. 3-52 RIOHACHA","44001 - RIOHACHA","3,102,771,745","historytravelersguajira@gmail.com","N7912 ** Actividades de operadores turisticos","PEQUEÑA EMPRESA","6","139,310,139","FORERO BARRERA PAOLA ANDREA"
"16","M&A MULTISOLUCIONES S.A.S. BIC","9,010,262,330","20,161,111","CL 37 NRO. 11A-71","44001 - RIOHACHA","7,276,835","gerenciacwt@gmail.com","G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados","MICRO EMPRESA","2","14,899,570","TORRES CADIZ SARA SOFIA"
"16","REVISTA FACETA S.A.S - ZOMAC BIC","9,013,777,115","20,200,316","CL 13 A NRO. 16 - 29","44001 - RIOHACHA","3,012,106,661","linapinto9@hotmail.com","J5813 ** Edicion de periodicos  revistas y otras publicaciones periodicas","MICRO EMPRESA","4","15,092,495","PINTO ALARCON LINA MARIA"
"16","MTECH GROUP SAS E.S.P. ZOMAC BIC","9,013,793,104","20,200,319","CL 18 15 27","44001 - RIOHACHA","3,157,249,369","info.mtech.colombia@gmail.com","F4321 ** Instalaciones electricas","MICRO EMPRESA","1","149,609,562","MARRUGO CUESTA MANUEL SIXTO"
"16","RANCHO VILLA FIGE S.A.S. BIC","9,014,762,480","20,210,325","CL  40 VDA LOS SERRITOS PREDIO LA SIEBITA","44001 - RIOHACHA","3,007,379,706","villafige@gestarservice.com","A0145 ** Cria de aves de corral","MICRO EMPRESA","2","15,000,000","RODRIGUEZ CAMPUSANO ROSA ELENA"
"16","SOCIEDAD DE COMERCIALIZACION INTERNACIONAL JPS COLOMBIA S.A.S BIC","9,014,878,580","20,210,525","CRR PLAYA CAMARONES","44001 - RIOHACHA","3,002,406,037","j.salgado.b.98@gmail.com","K6615 ** Actividades de los profesionales de compra y venta de divisas","MICRO EMPRESA","0","10,000,000","PEREZ MENDOZA JORGE JOSE"
"16","AGENCIA DE VIAJES SUMAJ TOURS S.A.S ZOMAC BIC","9,015,129,364","20,210,623","CL 1 1 17","44560 - MANAURE","3,106,728,674","laguajira@sumajtours.com","N7911 ** Actividades de las agencias de viaje","MICRO EMPRESA","4","47,400,020","POLANIA VARGAS JULIAN RODRIGO"
"16","GUAJIRA GLOBAL TRADING S.A.S BIC","9,015,013,382","20,210,713","CL 8 5 80","44078 - BARRANCAS","3,004,431,017","guajiraglobal.trading@gmail.com","A0113 ** Cultivo de hortalizas  raices y tuberculos","MICRO EMPRESA","1","4,000,000","ASIS CARRILLO BEATRIZ ENICE"
"16","COMERCIALIZADORA R & N S.A.S BIC","9,015,015,389","20,210,713","CR 22 13 26","44279 - FONSECA","3,205,924,549","rubenarturoariza@hotmail.com","G4631 ** Comercio al por mayor de productos alimenticios","MICRO EMPRESA","2","79,472,609","ARIZA GRANADILLO DAIRIS DAVID"
"16","INSTITUCION EDUCATIVA PARA JOVENES Y ADULTOS INTECO S.A.S ZOMAC BIC","9,015,190,031","20,210,906","CL 14 14 72","44279 - FONSECA","3,167,050,070","intecoformal@gmail.com","P8521 ** Educacion basica secundaria","MICRO EMPRESA","1","2,000,000","BUENO LOPEZ ANDREINA DE LA CRUZ"
"16","REFRI BARRANCAS S.A.S ZOMAC BIC","9,015,193,351","20,210,908","CL 13 20 86","44078 - BARRANCAS","3,153,513,868","refribarrancassas@gmail.com","G4520 ** Mantenimiento y reparacion de vehiculos automotores","MICRO EMPRESA","1","237,274,145","SOTO ARIAS NADIN JAVIER"
"16","PLAYA JASAY S.A.S ZESE BIC","9,015,195,023","20,210,908","CR 23 14 C  27","44001 - RIOHACHA","3,156,726,050","bradove25@gmail.com","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcoh󬩣as y no alcoh󬩣as) o tabaco","MICRO EMPRESA","2","25,000,000","POVEA CASTAÑEDA CHRISTIAN ALFONSO"
"16","LAVADOS CENTRO SOLUCIONES S.A.S ZOMAC BIC","9,015,234,550","20,210,920","CL 15 20 83","44279 - FONSECA","3,177,957,049","lavadosfca@gmail.com","S9601 ** Lavado y limpieza  incluso la limpieza en seco  de productos textiles y de piel","MICRO EMPRESA","1","30,100,000","PERALTA OÑATE YILMA DANIELA"
