"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44001 - RIOHACHA","JAVO INGENIERIA S.A.S","20.080.225","20.220.329","7.179.993.843","F4220 ** Construccion de proyectos de servicio publico","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44847 - URIBIA","CENTRAL DE SALES MG S.A.S.","20.080.312","20.220.329","990.023.596","C1089 ** Elaboracion de otros productos alimenticios n.c.p.","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44430 - MAICAO","AGUAS Y ENERGIA SAS","20.080.422","20.220.517","1.756.685.031","F4321 ** Instalaciones electricas","E3600 ** Captacion  tratamiento y distribucion de agua","16"
"44430 - MAICAO","CLINICA DE ESPECIALISTAS GUAJIRA S.A","20.080.428","20.220.329","9.812.036.000","Q8610 ** Actividades de hospitales y clinicas  con internacion",,"4"
"44430 - MAICAO","MULTI-SALES LTDA.","20.080.604","20.220.330","1.567.055.000","C1051 ** Elaboracion de productos de molineria","H4923 ** Transporte de carga por carretera","3"
"44001 - RIOHACHA","INVERSIONES MELO & MEDINA S.A.S.","20.080.609","20.220.125","1.746.000.000","F4111 ** Construccion de edificios residenciales","F4112 ** Construccion de edificios no residenciales","16"
"44035 - ALBANIA","GARCIA CAMPO MARILI","20.080.610","20.220.331","1.106.760.000","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","G4741 ** Comercio al por menor de computadores  equipos perifericos  programas de informatica y equipos de telecomunicaciones en establecimientos especializados","1"
"44001 - RIOHACHA","SERVICIOS Y LUBRICANTES TRANSPORTADOR LIMITADA","20.080.619","20.220.404","686.131.158","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores","3"
"44279 - FONSECA","L&M  CONSTRUCCIONES Y SOLUCIONES AMBIENTALES S.A.S","20.080.624","20.220.510","2.341.376.099","E3811 ** Recoleccion de desechos no peligrosos","E3812 ** Recoleccion de desechos peligrosos","16"
"44001 - RIOHACHA","SERVICIOS SUMINISTROS Y TECNOLOGIA S.A.S","20.080.707","20.220.331","500.801.094","N8121 ** Limpieza general interior de edificios","N8020 ** Actividades de servicios de sistemas de seguridad","16"
"44001 - RIOHACHA","TRANSEGEN LTDA","20.080.731","20.201.105","571.874.000","H4921 ** Transporte de pasajeros",,"3"
"44001 - RIOHACHA","INVERSIONES Y MATERIALES LA TRONCAL LIMITADA","20.081.022","20.220.325","1.130.642.000","M7020 ** Actividades de consultoria de gestion","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","3"
"44847 - URIBIA","R.S.B LIMITADA","20.081.219","20.130.925","1.019.477.000","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","F4111 ** Construccion de edificios residenciales","3"
"44650 - SAN JUAN DEL CESAR","CENTRO DE IMAGENES ESPECIALIZADAS CIME - S.A.S","20.090.119","20.220.506","1.776.724.000","Q8621 ** Actividades de la practica medica  sin internacion","M6910 ** Actividades juridicas","16"
"44001 - RIOHACHA","GESTION CONSULTORES E INTERVENTORES S.A.S","20.090.330","20.220.112","1.729.844.919","M7020 ** Actividades de consultoria de gestion","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","16"
"44078 - BARRANCAS","AGREGOM LIMITADA","20.090.605","20.220.615","2.573.814.000","B0990 ** Actividades de apoyo para otras actividades de explotacion de minas y canteras","H4923 ** Transporte de carga por carretera","3"
"44001 - RIOHACHA","DAGNE INGENIEROS CIVILES LIMITADA","20.090.619","20.210.714","1.572.097.296","F4210 ** Construccion de carreteras y vias de ferrocarril","F4220 ** Construccion de proyectos de servicio publico","3"
