"Radicado Inicial","Fecha Ingreso","Nombre Entidad Reguladora","Nombre Proyecto","Sector","Fecha salida abogacia","Recomendación SIC y/o Aparte","Norma Regulatoria Definitiva","Acoge Comentarios SIC","Resumen"
"09-111378","2009 Oct 08 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución “Por la cual se dictan normas transitorias sobre el funcionamiento del mercado mayorista de energía”","Minas y Energía","2009 Oct 20 12:00:00 AM","Expresar en la resolución el método para determinar el precio de oferta de una planta hidráulica cuyo embalse se encuentre en un nivel igual o inferior al nivel ENFICC probabilístico.

Dejar el espacio en la tabla que contiene los niveles ENFICC Probabilísticos por embalse para actualizar dichas probabilidades ante un eventual cambio estructural en las condiciones climáticas en Colombia, con el fin de no afectar el proceso de formación de precios de generación de energía sacando del mercado a hidroeléctricas que potencialmente tengan la posibilidad de alcanzar el ENFICC ante nuevas condiciones.","Resolución 137 del 30 de octubre de 2009","SI","A través del proyecto de acto administrativo la Comisión de Regulación de Energía y Gas imparte normas transitorias sobre el funcionamiento del Mercado Mayorista de energía con el fin de asegurar la confiabilidad en el abastecimiento de la demanda. Una vez realizado el estudio la Superintendencia de Industria y Comercio determinó que las disposiciones contenidas en el proyecto no afectan la libre competencia en los mercados del sector energético colombiano. Sin embargo, presentó recomendaciones a la CREG, con respecto a especificar la forma funcional como se determina el precio de oferta de una planta hidráulica cuyo embalse se encuentre en un nivel igual o inferior al nivel ENFICC probabilístico y dejar un espacio para actualizas el nivel ENFICC probabilista ante un eventual cambio estructural en las condiciones climáticas en Colombia."
"09-127314","2009 Nov 10 12:00:00 AM","Superintendencia Financiera de Colombia","Proyecto de Resolución ""Por el cual se actualizan las tablas de Mortalidad de Rentistas Hombres y Mujeres""","Hacienda y Crédito Público","2009 Nov 25 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 1555 del 30 de julio de 2010","N/A","El objeto del proyecto consistió en la actualización de las Tablas de  Mortalidad   de Rentistas Hombres y Mujeres  adoptadas mediante la resolución 0585 del 11 de abril de 1994.  La Superintendencia de industria y Comercio se abstuvo de rendir concepto previo sobre el proyecto de resolución dado que no evidencia incidencia en la libre competencia por cuanto se trata de una medida de carácter general que no discriminaría entre los participantes del mercado."
"09-137238","2009 Dec 02 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se adoptan disposiciones aplicables a las Transacciones Internacionales de Electricidad de Corto Plazo -TIE- entre Colombia y Ecuador, de conformidad con el Régimen Transitorio adoptado por la Decisión CAN 720""","Minas y Energía","2009 Dec 09 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 186 del 18 de diciembre de 2009","N/A","El objetivo del proyecto es ajustar la regulación vigente a las disposiciones de la Decisión 720 de la Comisión de la Comunidad Andina de Naciones a través de la cual se adopta un régimen transitorio sobre transacciones de electricidad, estableciendo unas reglas para los intercambios de electricidad entre Colombia y Ecuador.
En el análisis realizado por la Superintendencia se determinó que el principio de no discriminación en el tratamiento a los agentes en los dos mercados es deseable porque garantiza un nivel similar de confiabilidad y calidad de la electricidad sin importar donde se compre.
El sistema de distribución de las rentas evita crear incentivos para un comportamiento indeseable del propietario del enlace que generaría una asignación arbitraria de renta en los dos mercados.
La circunstancia de que las transacciones internacionales de electricidad de corto plazo estén limitadas únicamente por la capacidad de los enlaces internaciones es una decisión deseable económicamente en atención que garantiza que el suministro de electricidad no puede afectarse por otros factores.
Finalmente, la SIC consideró que la propuesta no afecta la libre competencia en los mercados eléctricos del país.  En realidad, estimula la eficiencia bajo la condición de que existan mercados competitivos, además de garantizar el suministro en el mercado nacional."
"09-137061","2009 Dec 01 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se modifica la Resolución CREG- 127 de 2009"".","Minas y Energía","2009 Dec 09 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 159 del 3 de diciembre de 2009","N/A","La Superintendencia de Industria y Comercio analizó el proyecto acerca de la divulgación de la información de las ofertas de precio en el mercado mayorista de electricidad determinando que no afecta indebidamente la competencia.  Si bien la divulgación de la información en el mercado mayorista sobre precios de oferta implica suprimir temporalmente una medida que promueve la competencia, facilitar el abastecimiento de electricidad ante un riesgo de racionamiento constituye uno de los objetivos principales de la intervención del Estado en el sector. Se considera que existen otros instrumentos para defender la competencia en el sector durante ese periodo."
"09-148201","2009 Dec 28 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se modifica la Resolución CREG- 033 de 2007, pero se resuelve modificar el art. 12 de la Resolución CREG- 119 de 1998""","Minas y Energía","2009 Dec 30 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 190 de 2009 del 31 de diciembre de 2009","N/A","El objetivo del proyecto consistió en modificar la resolución CREG 119 de 1998 en relación con la participación en el mercado mayorista de electricidad de los autogeneradores, cogeneradores y plantas menores con el fin de aumentar la disponibilidad de energía eléctrica ante situaciones de racionamiento.
La Superintendencia no presentó observaciones frente al proyecto."
"09-127417","2009 Nov 10 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se establecen reglas sobre la integración vertical en las actividades del servicio domiciliario de Gas Licuado de Petróleo GLP""","Minas y Energía","2009 Dec 31 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 126 del 5 de agosto de 2010 - modificada 79 - 2011*","N/A","El proyecto busca establecer reglas sobre integración vertical entre el transporte y las actividades de comercialización tanto mayorista como minorista y distribución de gas licuado del petróleo GLP. La Superintendencia no tiene observaciones sobre el proyecto."
"09-144273","2009 Dec 17 12:00:00 AM","Comisión de Regulación de Comunicaciones","Proyecto de Resolución ""Por la cual se establece las condiciones para la implementación y operación de la portabilidad numérica en Colombia"".","TIC","2010 Jan 05 12:00:00 AM","Incluir un párrafo como inciso segundo del artículo 32° del proyecto:

“Se incluirá en el orden del día de la presentación del informe que la Superintendencia de Industria y Comercio presentará semestralmente a la CRC, con el diagnóstico de las peticiones o quejas interpuestas por los usuarios en materia de portabilidad numérica. Sin perjuicio de lo anterior, la CRC podrá solicitar dicho informe cuando lo considere necesario.”

Modificar el numeral 8.6 en el siguiente sentido:

“8.6 Suministrar en todo momento a los Suscriptores y a los Usuarios a través de las oficinas de atención al cliente, sitios de internet y líneas de atención telefónica, información clara, veraz, suficiente, precisa y oportuna sobre el derecho de acceder a la Portabilidad Numérica.”

Se estudie la viabilidad de introducir la siguiente modificación al artículo 42º del proyecto de resolución, para una mayor divulgación del proceso de portabilidad numérica y considerando que la factura es uno de los medios de contacto más importantes entre los usuarios y las empresas:

“ARTÍCULO 42°.- DEBER DE DIVULGACIÓN. Durante los primeros seis (6) meses contados a partir de la Fecha de implementación de la Portabilidad Numérica, los Proveedores de Redes y Servicios de Telecomunicaciones que sean asignatarios de numeración, deberán divulgar de forma amplia la posibilidad del Suscriptor o Usuario de portar su número, para lo cual deberán emplear medios masivos de comunicación, incluyendo televisión, radio y diarios de circulación nacional, e incluir por una sola vez en las facturas correspondientes a los ciclos de facturación que comiencen con posterioridad a la Fecha de implementación de la Portabilidad Numérica, un texto alusivo a este derecho.”

Crear mecanismos para que los usuarios que deseen enviar mensajes electrónicos de texto (SMS) originados desde los sitios de internet de los diferentes operadores, puedan identificar fácilmente a qué proveedor está suscrito el abonado de destino

Modificar la cláusula sobre “Obligaciones del suscriptor y/o usuario” del Anexo II de la Resolución CRT 1732 de 2007, incluyendo el derecho de los usuarios a la portabilidad numérica.","Resolución 2355 del 29 de enero de 2010","Parcialmente","El objeto del proyecto presentado por la CRC radicó en establecer condiciones para la implementación y operación de la portabilidad numérica para Telefonía Pública Básica Conmutada Local (TPBCL) en Colombia.

La Superintendencia valoro positivamente la medida, por cuanto fomenta la sana competencia en el sector.  Igualmente, como quiera que la Superintencia de Industria y Comercio es la autoridad de vigilancia y control que vela por la protección de los derechos de los suscriptores y usuarios de los servicios de telecomunicaciones, presento recomendaciones a la CRC."
"10-002016","2010 Jan 12 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se adopta de manera transitoria medidas sanitarias para incentivar el uso eficiente y de ahorro de agua y desestimular su uso excesivo""","Vivienda, Ciudad y Territorio","2010 Jan 15 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 493 del 25 de febrero de 2010","N/A","El objeto del proyecto presentado por la CRA tuvo como finalidad adoptar de manera transitoria medidas para incentivar el uso eficiente y de ahorro del agua y desestimular el uso excesivo.
La Superintendencia manifestó que a la luz de la información remitida por la CRA no tenia observaciones sobre el proyecto."
"10-003402","2010 Jan 15 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se adoptan de manera transitoria medidas tarifarias para incentivar el uso eficiente y de ahorro del agua y desestimular su uso excesivo""","Vivienda, Ciudad y Territorio","2010 Jan 15 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 493 del 25 de febrero de 2010","N/A","El objeto del proyecto presentado por la CRA tuvo como finalidad adoptar de manera transitoria medidas para incentivar el uso eficiente y de ahorro del agua y desestimular el uso excesivo.  Su aplicación estaba dirigida a las personas prestadores del servicio público domiciliario de acueducto que presten el servicio en zonas en las cuales el Instituto Nacional de Hidrología y Meteorología (IDEAM) determinara que se presentan situaciones ambientales de riesgo por disminución en los niveles de precipitación ocasionados por fenómenos de variabilidad climática y mientras permanezca el riesgo.

La Superintendencia manifestó que a la luz de la información remitida por la CRA no tenia observaciones sobre el proyecto.g"
"10-002934","2010 Jan 14 12:00:00 AM","Comisión de Regulación de Agua Potable y Saneamiento Básico","Proyecto de Resolución ""Por la cual se establece la metodología tarifaria de los servicios públicos domiciliarios de acueducto y alcantarillado para prestadores que atiendan menos de 2,500 suscriptores, y se da cumplimiento a lo previsto por el numeral 11.4 del artículo 11 del Decreto 2696 de 2004""","Vivienda, Ciudad y Territorio","2010 Feb 01 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","No fue expedida","N/A","La CRA presentó a la Superintendencia cuatro proyectos de regulación que tenían como finalidad establecer la metodología tarifaria para los prestadores de los servicios de acueducto y alcantarillado tanto los que atienden menos de 2.500 usuarios como los que superan ese límite, modificar la metodología para calificar los prestadores de estos servicios al igual que el del aseo de acuerdo con un nivel de riesgo y modificar los niveles de pérdidas aceptables de agua para el cálculo de los costos de prestación de los servicios de acueducto y alcantarillado.

La Superintendencia manifestó que no tenia observaciones sobre los proyectos."
