"DEPARTAMENTO_PRESTACION","MUNICIPIO_PRESTACION","SERVICIO","ESTADO","NOMBRE","DEPARTAMENTO_DOMICILIO","MUNICIPIO_DOMICILIO","DIRECCION","TELEFONO","EMAIL","TIPO_INSCRIPCION","REPRESENTANTE_LEGAL","TIPO_PRESTADOR","CLASIFICACION"
"CALDAS","RIOSUCIO","ASEO","OPERATIVA","EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS","CALDAS","RIOSUCIO","CARRERA 7 CALLE 10 ESQUINA 1 PISO PALACIO MUNICIPAL","8592201","controlinterno@emsaesp.gov.co","Registro por la ESP","OLGA LUCIA CASTANO BENJUMEA","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RISARALDA","ASEO","OPERATIVA","OFICINA DE DESARROLLO ECONOMICO Y SERVICIOS PUBLICOS DEL MUNICIPIO DE RISARALDA","CALDAS","RISARALDA","Carrera 2 Calle 5 Esquina","8557220","alcaldia@risaralda-caldas.gov.co","Registro por la ESP","JORGE DANILO GUTIERREZ  CUARTAS","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CALDAS","NEIRA","ASEO","OPERATIVA","AQUAMANA E.S.P.","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CALDAS","VILLAMARIA","ASEO","OPERATIVA","AQUAMANA E.S.P.","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CALDAS","VILLAMARIA","ACUEDUCTO","OPERATIVA","AQUAMANA E.S.P.","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VILLAMARIA","ALCANTARILLADO","OPERATIVA","AQUAMANA E.S.P.","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"BOYACA","SOATA","ACUEDUCTO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","SOATA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","SOATA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","TASCO","ALCANTARILLADO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE TASCO","BOYACA","TASCO","CARRERA 5 #5A-51 CENTRO PARQUE PRINCIPAL","7879090","maribelpulidoaponte@hotmail.com","Registro por la ESP","JUAN YESID CUSBA TIBADUIZA","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
