"Establecimiento","Barrio_Domicilio","Ubicacion_Domicilio","Tipo_Comercio","Medios_Pago"
"Juana","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Emilu","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Prints","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Reinas y princesas","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"STARS Y AQUILER  Y EVENTOS  S.A.S BIC","La Pradera","Oficina","Formal","Efectivo"
"Grupo C&M eventos","Progreso","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Empanadas ambulantes","Centro","Otro","Informal","Efectivo"
"Lotería y rifas julio","La Shell","Otro","Informal","Efectivo"
"Artesanías Siona","Palo Marcado","Otro","Informal","Efectivo"
"Manualidades y artesanías mari","Carolina","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Banco agrario","Centro","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Mary","La Gabrielina","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Cosechas","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Semillas","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Siempre bella","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"De León bicicleteria","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Billares el Nogal","Centro","Local","Formal","Efectivo"
"Chicle sport","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Diana","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Perfecti","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Ponte linda moda","El Triángulo","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Solo chiros","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Vamos donde mathi","La Carolina","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Accesorios Martina","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Osebutv","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Cafeteria doña Ceci","La Shell","Vivienda","Informal","Efectivo, Billeteras Digitales"
"La casa del sabor","La Shell","Vivienda","Informal","Efectivo"
"Carnes finas del llano FT","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Districarnes la Economia","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"La villa","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Comunicaciones Winlook. Team","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Corresponsal alba","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Innova","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Sanfred","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Tecnicastilla","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Tecnología JJ","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Asociacion ecoturismo naturaleza","La Gabrielina","Bodega","Formal","Efectivo, Billeteras Digitales"
"Ecologistas en acción","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Comercializadora El Castillo Magico","Centro","Local","Formal","Efectivo"
"Pare y coma donde josh","Villa Checop","Otro","Informal","Efectivo"
"Fritos yuyas","La Carolina","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Gerome comidas rápidas","Caja Agraria","Local","Informal","Efectivo, Billeteras Digitales"
"Comidas Marisol","Carolina","Vivienda","Informal","Efectivo"
"Confecciones Anyi BO diseños","La Gabrielina","Vivienda","Formal","Efectivo"
"Confecciones Francy","Palo Marcado","Vivienda","Informal","Efectivo"
"Confecciones Maya","La Gabrielina","Vivienda","Informal","Efectivo"
"Setagis","Palo Marcado","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Con suerte","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Córdoba","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Papeleria punto red","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"JP sport","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Lili","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Luna Lunera","La Carolina","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Diseños HR","Sápitos","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Distriservicios Ay D","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Sirenas","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Pollo Amarillo","Centro","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Droguería farmasalud","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Droguería Ferland","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Droguería Niza","Centro","Local","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Electrodomésticos alba","Centro","Bodega","Formal","Efectivo, Billeteras Digitales"
"Danna Kokoroko","Vereda Arenales","Vivienda","Informal","Efectivo"
"Empanadas nuevas *","El Triángulo","Vivienda","Informal","Efectivo, Billeteras Digitales"
