"ANO","CODIGO_RNT","COD_MUN","COD_DPTO","ESTADO_RNT","RAZON_SOCIAL_ESTABLECIMIENTO","DEPARTAMENTO","MUNICIPIO","CATEGORIA","SUB_CATEGORIA","HABITACIONES","CAMAS","NUM_EMP"
"2019","6.865","73026","73","ACTIVO","HOTEL ELICARVES","TOLIMA","ALVARADO","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","15","22","4"
"2019","17.582","73026","73","ACTIVO","FINCA AGROTURISTICA EL PALMAR","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","FINCAS TURÍSTICAS (ALOJAMIENTO RURAL)","4","40","0"
"2019","22.579","73026","73","ACTIVO","MOLINO LA GUAIRA-ALOJAMIENTO CAMPESTRE","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","FINCAS TURÍSTICAS (ALOJAMIENTO RURAL)","10","55","0"
"2019","58.625","73026","73","ACTIVO","LA POSADA CAMPESTRE ALVARADO","TOLIMA","ALVARADO","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","20","45","5"
"2019","60.224","73026","73","ACTIVO","FINCA ARIZONA","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","FINCAS TURÍSTICAS (ALOJAMIENTO RURAL)","6","17","0"
"2019","66.815","73026","73","ACTIVO","CORPORACION DULIMA TURISTICA","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","OTROS TIPOS DE VIVIENDA TURÍSTICA","3","6","0"
"2019","67.393","73026","73","ACTIVO","CORPORACION DULIMA TURISTICA","TOLIMA","ALVARADO","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES","4","15","1"
"2019","70.067","73026","73","ACTIVO","FINCA EL PARAISO MA","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","OTROS TIPOS DE VIVIENDA TURÍSTICA","3","12","0"
"2019","71.845","73026","73","ACTIVO","HOTEL RESTAURANTE MONTERREY","TOLIMA","ALVARADO","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","13","18","3"
"2020","6.865","73026","73","ACTIVO","HOTEL ELICARVES","TOLIMA","ALVARADO","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","15","22","4"
"2020","17.582","73026","73","ACTIVO","FINCA AGROTURISTICA EL PALMAR","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","FINCAS TURÍSTICAS (ALOJAMIENTO RURAL)","4","40","0"
"2020","22.579","73026","73","ACTIVO","MOLINO LA GUAIRA-ALOJAMIENTO CAMPESTRE","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","FINCAS TURÍSTICAS (ALOJAMIENTO RURAL)","10","55","0"
"2020","58.625","73026","73","ACTIVO","LA POSADA CAMPESTRE ALVARADO","TOLIMA","ALVARADO","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","HOTEL","20","45","3"
"2020","60.224","73026","73","ACTIVO","FINCA ARIZONA","TOLIMA","ALVARADO","VIVIENDAS TURÍSTICAS","FINCAS TURÍSTICAS (ALOJAMIENTO RURAL)","6","17","0"
