"No","MES","TRÁMITE","EMPRESAS","RADICACIÓN","FECHA ENTRADA","FECHA SALIDA","ACTO ADMINISTRATIVO (vínculo)","DECISIÓN"
"1","Enero","Notificación","ITT GOULDS PUMPS COLOMBIA S.A.S. y SPX FLOW Inc.","25-634704","2025 Dec 18 12:00:00 AM","2026 Jan 08 12:00:00 AM","Archivo adjunto","Notificada"
"2","Enero","Notificación","CAJA DE C OMPENSACIÓN FAMILIAR DEL VALLE DEL CAUCA COMFAMILIAR ANDI, DROPOPULAR S.A.S. y UNIÓN DE DROGUISTAS S.A.S.","26-9062","2026 Jan 13 12:00:00 AM","2026 Jan 20 12:00:00 AM","Archivo adjunto","Oficio de respuesta con observaciones"
"3","Enero","Notificación","AVISTA COLOMBIA S.A.S. BIC y CFG PARTNERS COLOMBIA S.A.S.","26-9727","2026 Jan 13 12:00:00 AM","2026 Jan 23 12:00:00 AM","Archivo adjunto","Notificada"
"4","Enero","Pre-evaluación","DISTRACOM S.A. Y CENCOSUD COLOMBIA S.A.","25-320580","2025 Jul 08 12:00:00 AM","2026 Jan 21 12:00:00 AM","Archivo adjunto","Aprobada"
"5","Enero","Notificación","GLOBOSHOPS S.A.S. y SAPIA CI S.A.S., SMARAGDUS S.A.S., ALMACENES TISQUESUSA S.A.","25-545591","2025 Nov 04 12:00:00 AM","2026 Jan 05 12:00:00 AM","Archivo adjunto","Desistida"
"6","Enero","Notificación","TIQETS HOLDING B.V. y EXPEDIA GROUP, INC.","25-640931","2025 Dec 23 12:00:00 AM","2026 Jan 07 12:00:00 AM","Archivo adjunto","Notificada"
"7","Febrero","Notificación","INVESTEX S.A.S y GLASST INNOVATION COMPANY S.A.S.","25-597551","2025 Dec 01 12:00:00 AM","2026 Feb 02 12:00:00 AM","Archivo adjunto","Notificada"
"8","Febrero","Notificación","FLOWERS INVESTMENTS CAPITAL ELITE FLOWER y UNIPLANTAS","25-649694","2025 Dec 30 12:00:00 AM","2026 Feb 03 12:00:00 AM","Archivo adjunto","Notificada"
"9","Febrero","Notificación","L'Oréal S.A. y Kering S.A., Kering Holland NV, Kering Beauté S.A.S","26-562","2026 Jan 02 12:00:00 AM","2026 Feb 05 12:00:00 AM","Archivo adjunto","Notificada"
"10","Febrero","Notificación","PROMIGAS S.A. E.S.P. y  ZELESTRA CORPORACIÓN, S.A.U.","25-640761","2025 Dec 23 12:00:00 AM","2026 Feb 03 12:00:00 AM","Archivo adjunto","Oficio de respuesta con observaciones"
