"Nombre o título  de la categoría de información","Subcategorías","Nombre o título de la información","Idioma","Medio de conservación y/o soporte","Formato","Calificación","Fecha de generación de la información","Nombre del responsable de la producción de la información","Nombre del responsable de la información","Objetivo legítimo de la excepción","Fundamento constitucional o legal","Fundamento jurídico de la excepción","Excepción total o parcial","Fecha de la calificación","Plazo de clasificación o reserva"
"Acciones constitucionales","Acciones de Tutela","Acciones de Tutela","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo Asesor Jurídico","Grupo Asesor Jurídico","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Actas","Actas de Reunión","Actas de Reunión","Español","Físico/Digital","Documento de texto","CLASIFICADA","Eventual","Oficina de Planeación, Innovación y Desarrollo","Oficina de Planeación, Innovación y Desarrollo","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Actas","Actas de Reunión - Salidas No Conformes","Actas de Reunión - Salidas No Conformes","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Actas","Actas del Comité Institucional de Coordinacion de Control Interno (Actas del Comité de Control Interno)","Actas del Comité Institucional de Coordinacion de Control Interno (Actas del Comité de Control Interno)","Español","Físico/Digital","Documento de texto","CLASIFICADA","Mensual","Oficina de Control Interno","Oficina de Control Interno","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Actas","Actas del Comité Institucional de Coordinacion de Control Interno (Actas de Reunión Administrativa)","Actas del Comité Institucional de Coordinacion de Control Interno (Actas de Reunión Administrativa)","Español","Físico/Digital","Documento de texto","CLASIFICADA","Mensual","Oficina de Control Interno","Oficina de Control Interno","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Actas","Actas de Comité de Auditoría","Actas de Comité de Auditoría","Español","Físico/Digital","Documento de texto","CLASIFICADA","Bimensual","Oficina de Control Interno","Oficina de Control Interno","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Actas","Actas de Reunión Comité Institucional de Gestión y Desempeño","Actas de Reunión Comité Institucional de Gestión y Desempeño","Español","Físico/Digital","Documento de texto","CLASIFICADA","Trimestral","Oficina de Planeación, Innovación y Desarrollo","Oficina de Planeación, Innovación y Desarrollo","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Actas","Actas de Reunión de Comité de Gerencia","Actas de Reunión de Comité de Gerencia","Español","Físico/Digital","Documento de texto","CLASIFICADA","Semanal","Oficina de Planeación, Innovación y Desarrollo","Secretaria de Gerencia","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Actas","Actas de Reunión Revisión por la Alta Dirección","Actas de Reunión Revisión por la Alta Dirección","Español","Físico/Digital","Documento de texto","CLASIFICADA","Anual","Oficina de Planeación, Innovación y Desarrollo","Oficina de Planeación, Innovación y Desarrollo/Sistema Integrado de Gestión de la Calidad Aeronáutica","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Actas","Actas del Comité de Convivencia Laboral","Actas del Comité de Convivencia Laboral","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo Seguridad Integral","Grupo Seguridad Integral","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
